,0,1
0,Aug-25-20 01:46PM,Top Utilities Stocks for September 2020 Investopedia
1,10:31AM,3 Stocks to Buy With Dividends Yielding More Than 3% Motley Fool
2,Aug-24-20 02:06PM,"NextEra Energy, Inc. (NYSE:NEE) Insiders Increased Their Holdings Simply Wall St."
3,06:00AM,Better Buy: Brookfield Infrastructure Partners vs. NextEra Energy Motley Fool
4,Aug-23-20 11:30AM,Why Is NextEra Energy Partners (NEP) Up 5.8% Since Last Earnings Report? Zacks
5,11:30AM,Why Is NextEra (NEE) Up 0.5% Since Last Earnings Report? Zacks
6,Aug-22-20 07:37AM,3 Top Dividend Aristocrats to Buy Now Motley Fool
7,Aug-21-20 03:13PM,5 Win-Win Stocks To Buy For Bulls And Bears Alike InvestorPlace
8,07:41AM,"1 Utility Offering Dividends Today, Growth Tomorrow Motley Fool"
9,Aug-19-20 05:59PM,The Future Of Energy: 3 Stocks To Watch Zacks
10,Aug-17-20 05:51AM,"Got $1,500? Here Are 3 of the Safest Stocks to Buy Now Motley Fool"
11,Aug-14-20 11:40AM,CMS vs. NEE: Which Stock Should Value Investors Buy Now? Zacks
12,10:12AM,The 6 Best Solar Stocks to Buy Right Now InvestorPlace
13,07:20AM,"Buy Utility Stocks Now, Goldman Sachs Says. They Could Be a Great Source of Dividends. Barrons.com"
14,Aug-12-20 12:21PM,MVP Southgate natgas pipe startup seen in 2021 despite N.Carolina permit denial Reuters
15,11:06AM,A Trio of High Performing Stock Picks to Consider GuruFocus.com
16,07:30AM,"Where to Invest $10,000 Right Now Motley Fool"
17,Aug-11-20 04:25PM,Ken Fisher's Top 4 Buys in the 2nd Quarter GuruFocus.com
18,Aug-05-20 10:32AM,Now's the Time to Buy These 3 Stocks Motley Fool
19,07:46AM,3 Dividend Stocks That Should Pay You for the Rest of Your Life Motley Fool
20,Aug-04-20 10:01AM,Equitrans confirms early 2021 startup for Mountain Valley natural gas pipeline Reuters
21,Aug-02-20 08:49AM,1 Great Dividend Growth Stock to Buy This August Motley Fool
22,07:21AM,5 Top Dividend Stocks to Buy in August Motley Fool
23,Aug-01-20 09:16AM,This Leading Renewable Energy Producer Is Already Looking Beyond Wind and Solar Motley Fool
24,Jul-31-20 05:03PM,3 Top Renewable Energy Stocks to Buy in August Motley Fool
25,Jul-30-20 04:44PM,"American Municipal Power, Inc. -- Moody's assigns A2 to American Municipal Power, Inc. Solar Electricity Prepayment Project Revenue Bonds; outlook stable Moody's"
26,01:57PM,4 Stocks to Buy for a Second Wave of Coronavirus Infections Motley Fool
27,10:45AM,NextEra Energy board declares quarterly dividend PR Newswire
28,Jul-29-20 05:37PM,Bloom Energy CEO Calls NextEra Energy Resources a Financing Partner; NextEra Says Not True Motley Fool
29,12:08PM,Statement by NextEra Energy Resources President and CEO John Ketchum on Bloom Energy PR Newswire
30,Jul-28-20 03:07PM,"NextEra Energy, Inc. Recorded A 21% Miss On Revenue: Analysts Are Revisiting Their Models Simply Wall St."
31,Jul-27-20 09:19AM,Better Buy: Kinder Morgan vs. NextEra Energy Partners Motley Fool
32,Jul-26-20 08:17AM,Worried About Another Crash? NextEra Energy is a Stock to Consider Motley Fool
33,07:21AM,4 Must-Own Recession Stocks Motley Fool
34,Jul-25-20 09:08AM,This Renewable Energy Dividend-Growth Juggernaut Continues Powering Ahead Motley Fool
35,01:31AM,NextEra Energy Partners (NEP) Q2 2020 Earnings Call Transcript Motley Fool
36,Jul-24-20 03:00PM,NextEra Energy Inc (NEE) Q2 2020 Earnings Call Transcript Motley Fool
37,12:32PM,NextEra Energy Partners' (NEP) Q2 Earnings Surpass Estimates Zacks
38,11:43AM,NextEra Energy's Earnings Continue to Climb Despite COVID-19 Motley Fool
39,10:27AM,"NextEra Energy (NEE) Q2 Earnings Beat Estimates, Sales Miss Zacks"
40,10:22AM,Looking Into NextEra Energy's Return On Capital Employed Benzinga
41,10:19AM,"Markets Start Friday in the Red; Plus Q2 Earnings for VZ, NEE Zacks"
42,09:05AM,NextEra Energy (NEE) Tops Q2 Earnings Estimates Zacks
43,08:55AM,NextEra Energy Partners (NEP) Tops Q2 Earnings Estimates Zacks
44,08:10AM,NextEra Energy's Debt Overview Benzinga
45,08:02AM,Recap: NextEra Energy Partners Q2 Earnings Benzinga
46,04:19AM,"Earnings Scheduled For July 24, 2020 Benzinga"
47,Jul-23-20 08:59AM,"The Zacks Analyst Blog Highlights: CoreLogic, AutoNation, Danaher and NextEra Energy Zacks"
48,08:34AM,Why Earnings Season Could Be Great for NextEra Energy (NEE) Zacks
49,Jul-22-20 11:12AM,What's in Store for NextEra Energy's (NEE) Q2 Earnings? Zacks
50,10:29AM,What's in Store for NextEra Energy Partners (NEP) Q2 Earnings? Zacks
51,Jul-20-20 05:45PM,NextEra Energy (NEE) Stock Sinks As Market Gains: What You Should Know Zacks
52,03:23PM,5 Top Stocks for July Motley Fool
53,08:49AM,"Zacks.com featured highlights include: Boise Cascade, Lakeland Industries, NextEra Energy, FormFactor and West Pharmaceutical Services Zacks"
54,08:38AM,"NextEra's Shares March Higher, Can It Continue? Zacks"
55,Jul-19-20 07:21AM,3 Perfect Stocks for Retirees to Buy Right Now Motley Fool
56,Jul-18-20 09:08AM,Money for Nothing: Should Investors Get Excited About ... a Utility? Motley Fool
57,Jul-17-20 07:18PM,US Indexes Close Flat Friday GuruFocus.com
58,12:30PM,NextEra Energy Partners (NEP) Earnings Expected to Grow: What to Know Ahead of Next Week's Release Zacks
59,12:30PM,NextEra Energy (NEE) Reports Next Week: Wall Street Expects Earnings Growth Zacks
60,07:40AM,The 3 Safest Energy Dividends Right Now Motley Fool
61,Jul-15-20 08:17AM,3 Energy Stocks to Buy Right Now Motley Fool
62,Jul-14-20 05:14PM,"Tesla and NextEra Energy Stock Could Gain From Bidens Climate Plan. Ford, Polaris Stock Could Fall. Barrons.com"
63,Jul-13-20 05:45PM,NextEra Energy (NEE) Dips More Than Broader Markets: What You Should Know Zacks
64,Jul-11-20 01:17PM,"37 Stocks Poised to Emerge Even Stronger After the Crisis, According to Barrons Investing Experts Barrons.com"
65,Jul-10-20 01:11PM,5 Utilities Outperforming the Market GuruFocus.com
66,12:45PM,"Is NextEra (NEE) a Solid Growth Stock? 3 Reasons to Think "" Yes "" Zacks"
67,08:13AM,3 Top Renewable Energy Stocks to Buy Right Now Motley Fool
68,08:12AM,"Here's What NextEra Energy, Inc.'s (NYSE:NEE) Shareholder Ownership Structure Looks Like Simply Wall St."
69,06:30AM,"NextEra Energy Partners, LP announces date for release of second-quarter 2020 financial results PR Newswire"
70,06:30AM,NextEra Energy announces date for release of second-quarter 2020 financial results PR Newswire
71,Jul-09-20 06:06AM,3 Well-Known Stocks That Just Keep Winning Motley Fool
72,Jul-08-20 09:34AM,American Water Arm & Flo by Moen Unite to Stop Water Wastage Zacks
73,08:09AM,3 Top Renewable Energy Stocks to Buy in July Motley Fool
74,Jul-07-20 09:42PM,Trans Bay Cable LLC -- Moody's assigns first-time Baa2 issuer rating to Trans Bay Cable; outlook stable Moody's
75,05:50PM,NextEra Energy (NEE) Stock Moves -0.1%: What You Should Know Zacks
76,02:32PM,"Were Hedge Funds Right About Piling Into NextEra Energy, Inc. (NEE)? Insider Monkey"
77,01:41PM,"Equitrans' stock spikes after court ruling, rival project canceled Reuters"
78,08:21AM,5 Renewable Energy Stocks Set to Shine in 2H20 Zacks
79,Jul-06-20 01:08PM,Buffett's Berkshire Hathaway Buys Dominion Energy's Natural Gas Assets GuruFocus.com
80,10:07AM,"Zacks.com featured highlights include: Teekay Tankers, Tesla, NextEra Energy, Nice and West Pharmaceutical Services Zacks"
81,Jul-04-20 09:31AM,3 Top Dividend Stocks to Buy in July Motley Fool
82,Jul-03-20 08:19AM,Why NextEra Energy (NEE) is a Must Add to Your Portfolio Zacks
83,Jul-02-20 10:57AM,Utilities Power Higher Amid 'Accommodative' Fed Minutes Investopedia
84,10:16AM,5 Low Leverage Stocks to Buy Amid Coronavirus-Led Debacle Zacks
85,08:47AM,Sustainable Investment Forms Part of the New Normal: 5 Picks Zacks
86,Jul-01-20 12:19PM,5 Top Stocks for July Motley Fool
87,09:37AM,"The Zacks Analyst Blog Highlights: Galiano Gold, Fortinet, Meridian Bioscience, Crescent Capital BDC and NextEra Energy Zacks"
88,05:51AM,"Got $3,000? Invest It in These 3 No-Brainer Buys Motley Fool"
89,Jun-30-20 10:11AM,"The Zacks Analyst Blog Highlights: Berkshire Hathaway, Intel, American Tower, NextEra Energy and Booking Holdings Zacks"
90,Jun-29-20 04:58PM,"Top Research Reports for Berkshire Hathaway, Intel & American Tower Zacks"
91,Jun-26-20 05:50PM,NextEra Energy (NEE) Stock Moves -1.23%: What You Should Know Zacks
92,10:01AM,NextEra Energy Sees Hammer Chart Pattern: Time to Buy? Zacks
93,Jun-24-20 12:45PM,3 Reasons Why Growth Investors Shouldn't Overlook NextEra (NEE) Zacks
94,09:33AM,Coronavirus Dampens Utility Electric-Power Stock Outlook Zacks
95,Jun-22-20 12:04PM,"The Zacks Analyst Blog Highlights: ENPH, NEE, SEDG and VST Zacks"
96,Jun-19-20 12:01PM,"The Zacks Analyst Blog Highlights: Netflix, Bristol-Myers Squibb, NextEra Energy, Goldman Sachs and Illumina Zacks"
97,12:00PM,NextEra (NEE) Upgraded to Strong Buy: Here's What You Should Know Zacks
98,08:28AM,New Strong Buy Stocks For June 19th Zacks
99,Jun-18-20 01:41PM,"Top Research Reports for Netflix, Bristol-Myers & NextEra Zacks"
