Company,timestamp,headline
NKE,2020-09-23 08:49:00,"Dow Futures Gain, Nike Soars To Record Peak, As Global Markets Rebound Despite Coronavirus Spike TheStreet.com"
NKE,2020-09-23 08:36:00,2 key numbers show how quickly Nike is bouncing back from the pandemic Yahoo Finance
NKE,2020-09-23 08:31:00,"US STOCKS-Nike set to lift S&P 500, Dow ahead of business activity data Reuters"
NKE,2020-09-23 08:19:00,"Nike Stock Is Soaring. Yes, Its Earnings Were That Good. Barrons.com"
NKE,2020-09-23 08:13:00,Dow Jones Futures Jump 200 Points As Nike Soars 13% On Earnings; Tesla Dives On Battery Day Investor's Business Daily
NKE,2020-09-23 07:57:00,Nikes Earnings Were Incredible. How the Company Just Did It. Barrons.com
NKE,2020-09-23 07:36:00,Nike is crushing competitors and Wall Street is obsessed again with the stock Yahoo Finance
NKE,2020-09-23 07:26:00,"What Tuesday Was, Nasdaq 100 Is Key, Halftime for a Vaccine, Nike Crushes It TheStreet.com"
NKE,2020-09-23 07:16:00,"Stock market news live updates: Stock futures point to a second day of gains, extending September's selling reprieve Yahoo Finance"
NKE,2020-09-23 07:10:00,"Tesla, Nike, Dow Futures, Aurora Cannabis - 5 Things You Must Know Wednesday TheStreet.com"
NKE,2020-09-23 06:56:00,Futures rise ahead of business activity data; Nike shines Reuters
NKE,2020-09-23 06:54:00,US STOCKS-Futures rise ahead of business activity data; Nike shines Reuters
NKE,2020-09-23 06:19:00,The DJIA Leads as Sloppy Rotational Action Continues TheStreet.com
NKE,2020-09-23 05:56:00,"Nike Jumps After Reporting Surprise Earnings Gain, Accelerating Online Sales Investor's Business Daily"
NKE,2020-09-23 03:03:00,European stocks extend recovery ahead of PMIs; Adidas jumps Reuters
NKE,2020-09-23 02:12:00,Nike Pops 13% As 1Q Online Sales Jump 82% SmarterAnalyst
NKE,2020-09-22 10:53:00,Nike Tramples Analyst Expectations With Its Q1 2021 Results Motley Fool
NKE,2020-09-22 10:21:00,Nike expects permanent shift to online sales BBC
NKE,2020-09-22 10:00:00,Nike Inc (NKE) Q1 2021 Earnings Call Transcript Motley Fool
NKE,2020-09-22 06:05:00,Nike Returns to Growth Amid Pandemic WWD
NKE,2020-09-22 05:50:00,Nike Doubles Profit Estimates on Strong Digital Sales TheStreet.com
NKE,2020-09-22 05:43:00,'It's very important that we get the consumer going again': Portfolio Manager Yahoo Finance Video
NKE,2020-09-22 05:22:00,"Amazon best-positioned aggregator in fragmented e-commerce market, says analyst Yahoo Finance Video"
NKE,2020-09-22 05:14:00,"Nasdaq Jumps 180 Points, Led By Amazon, Lululemon; Tesla Slumps Ahead Of Battery Day Investor's Business Daily"
NKE,2020-09-22 04:55:00,Nike brand digital sales jump 82% in Q1 Yahoo Finance Video
NKE,2020-09-22 04:44:00,"Nike Reports Q1 Earnings Beat, Digital Sales Up 82% YoY Benzinga"
NKE,2020-09-22 04:43:00,"Nike Blows Past Analysts Estimates, Sending Stock Up High Single Digits Footwear News"
NKE,2020-09-22 04:42:00,Nike Earnings: What Happened with NKE Investopedia
NKE,2020-09-22 04:27:00,"Nike smashes revenue, profit estimates on China demand, online boom Reuters"
NKE,2020-09-22 04:19:00,Nike stock rallies after big earnings beat MarketWatch
NKE,2020-09-22 04:17:00,Nike swings back to a quarterly profit as digital sales surge 82% Yahoo Finance
NKE,2020-09-22 03:45:00,"Dow's 162-point jump led by gains for Nike, Microsoft shares MarketWatch"
NKE,2020-09-22 03:18:00,Dow Jones Gains As Nasdaq Leads Way; Housing Stocks Make Constructive Moves Investor's Business Daily
NKE,2020-09-22 02:41:00,"Dow's nearly 100-point climb led by gains for shares of Nike, Microsoft MarketWatch"
NKE,2020-09-22 01:44:00,Amazon Leads Overall and Retail Category in 2020 Loyalty Leaders List WWD
NKE,2020-09-22 01:37:00,"Nasdaq Leads Stock Gains, But Dow Lags; This Sector Rebounds Investor's Business Daily"
NKE,2020-09-22 01:33:00,"Nike, Procter & Gamble share gains lead the way, but Dow flat MarketWatch"
NKE,2020-09-22 12:47:00,Nike Reports Earnings Today. Heres What to Expect. Barrons.com
NKE,2020-09-22 12:07:00,"Nike expected to return to profit as online sales, demand from China pick up Reuters"
NKE,2020-09-22 11:49:00,How to Trade Nike When It Reports Earnings Tuesday TheStreet.com
NKE,2020-09-22 11:16:00,Under Armour CEO: 'Everybody will be shrinking somewhat coming out of COVID' Yahoo Finance
NKE,2020-09-22 10:45:00,Here's What To Make Of NIKE's (NYSE:NKE) Returns On Capital Simply Wall St.
NKE,2020-08-27 04:15:00,"NIKE, Inc. Announces First Quarter Fiscal 2021 Earnings and Conference Call Business Wire"
NKE,2020-08-27 11:10:00,"These Hedge Funds Cashed Out Of NIKE, Inc. (NKE) Too Soon Insider Monkey"
NKE,2020-08-27 11:02:00,Pro sports athletes boycott games over Jacob Blake shooting Yahoo Finance Video
NKE,2020-08-27 12:01:00,Inside Nikes New Community Store in L.A.s Watts Neighborhood WWD
NKE,2020-08-26 02:07:00,"S&P 500, Nasdaq Touch New Highs; Tech Stocks Lead Investor's Business Daily"
NKE,2020-08-26 01:12:00,"The Zacks Analyst Blog Highlights: Apple, NIKE, Walt Disney, PG and MRK Zacks"
NKE,2020-08-26 12:43:00,Prime Couture? Luxury Could Be Amazons Next Target. Barrons.com
NKE,2020-08-25 01:32:00,Why Nike's decision to cut ties with 9 major wholesalers is 'a positive': analyst Yahoo Finance
NKE,2020-08-25 10:34:00,Nike Is Taking Control of Its Own Destiny. Time to Buy. Barrons.com
NKE,2020-08-24 05:50:00,Nike (NKE) Outpaces Stock Market Gains: What You Should Know Zacks
NKE,2020-08-24 04:47:00,"S&P 500, Nasdaq Hit Record Highs As Several Leaders Near Buy Points Investor's Business Daily"
NKE,2020-08-24 12:55:00,"How Nike Makes Money: Footwear, Apparel, and Equipment Investopedia"
NKE,2020-08-23 10:00:00,Nike celebrates the life and legacy of Kobe Bryant with 'Mamba Week' Yahoo Finance
NKE,2020-08-23 09:43:00,"Why It Might Not Make Sense To Buy NIKE, Inc. (NYSE:NKE) For Its Upcoming Dividend Simply Wall St."
NKE,2020-08-21 04:56:00,Back to School Is Not the Same. Here Are 4 Stock Picks to Play the Changes. Barrons.com
NKE,2020-08-21 04:31:00,Dow Jones Leads Market Higher On Apple Stock Rise; Nasdaq Hits Fresh Highs Investor's Business Daily
NKE,2020-08-21 03:01:00,"Apple Inc., Nike share gains lead Dow's 215-point climb MarketWatch"
NKE,2020-08-21 01:37:00,"Apple Inc., Nike share gains contribute to Dow's nearly 150-point climb MarketWatch"
NKE,2020-08-21 09:13:00,7 Crowdfunding Investments to Revitalize Your Portfolio InvestorPlace
NKE,2020-08-21 07:00:00,Better Buy: Nike vs. Lululemon Athletica Motley Fool
NKE,2020-08-20 03:38:00,Market Still Lacking Some Conviction On Preformed Line Products Company (NASDAQ:PLPC) Simply Wall St.
NKE,2020-08-20 03:01:00,How retailers are combating surge in online counterfeits Yahoo Finance Video
NKE,2020-08-20 09:49:00,"Dow Jones Today, Stocks Open Mixed After Jobs Data; Intel Jumps On Buyback; Synopsys Nails Breakout Investor's Business Daily"
NKE,2020-08-20 07:42:00,3 Reasons to Avoid Under Armour Stock Motley Fool
NKE,2020-08-19 05:57:00,"Corporations Want Chief Diversity Officers, But Do They Want True Change? Insider Monkey"
NKE,2020-08-19 04:32:00,Dow Jones Drifts Lower On Fed Coronavirus Worries; Amazon Nears Buy Zone Investor's Business Daily
NKE,2020-08-19 02:45:00,"'Halftime Report' Traders Advise Viewers On Nike, Netflix And More Benzinga"
NKE,2020-08-19 02:15:00,"Dow flat in spite of gains for Nike, Visa shares MarketWatch"
NKE,2020-08-19 12:09:00,"Dow Jones Up As Apple Stock Makes History; S&P 500, Nasdaq Hit New Highs Investor's Business Daily"
NKE,2020-08-19 09:45:00,"Dow up 87 points on gains for Goldman Sachs, Nike stocks MarketWatch"
NKE,2020-08-19 09:16:00,Why Is Everyone Talking About Nike Stock? Motley Fool
NKE,2020-08-18 11:51:00,New York gyms to reopen: Planet Fitness CEO says his chain is ready to go Yahoo Finance
NKE,2020-08-17 05:50:00,Nike (NKE) Stock Sinks As Market Gains: What You Should Know Zacks
NKE,2020-08-17 01:17:00,WW CEO on succeeding: Surround yourself with 'incredible talent' and make others successful Yahoo Finance
NKE,2020-08-17 06:50:00,Why you may not be able to buy things you really want this holiday season Yahoo Finance
NKE,2020-08-15 10:58:00,How Nike Is Positioning For a Big Comeback Beyond Coronavirus Motley Fool
NKE,2020-08-15 09:30:00,Is Nike a Great Dividend Stock? Motley Fool
NKE,2020-08-14 05:38:00,Stocks Likely to Survive the U.S.-China Decoupling Barrons.com
NKE,2020-08-14 04:22:00,Dow Jones Drifts Higher; Three Leaderboard Stocks In Buy Zones Investor's Business Daily
NKE,2020-08-14 01:53:00,"Farfetch stock soars as the shift to digital, luxury market share gains and exclusive merchandise drive revenue MarketWatch"
NKE,2020-08-14 12:10:00,3 of the Best Options Trades to Enter Now InvestorPlace
NKE,2020-08-14 09:46:00,"Dow Jones Today, Stocks Tightly Mixed As Stimulus Hopes Fade; Applied Materials Tops Views Investor's Business Daily"
NKE,2020-08-14 06:00:00,Why I'll Never Own Under Armour Stock Motley Fool
NKE,2020-08-13 06:48:00,Why Big Brand Stocks Are Dying GuruFocus.com
NKE,2020-08-13 02:30:00,Nasdaq Commands Gains; Why These Dow Stocks Are Near A Buy Point Investor's Business Daily
NKE,2020-08-13 01:19:00,Apples Subscription Bundles Dont Move the Needle Enough Bloomberg
NKE,2020-08-13 11:38:00,Unusual Options Activity Insight: Nike Benzinga
NKE,2020-08-13 09:46:00,Apple Readies Subscription Bundles to Boost Digital Services Bloomberg
NKE,2020-08-13 02:10:00,Nike vs Skechers: Which Stock Is Poised For A Better Run? SmarterAnalyst
NKE,2020-08-12 01:46:00,PVH Poaches Nike for New HR Chief Motley Fool
NKE,2020-08-12 12:43:00,Amazon descending onto malls is the logical next step: National Retail Federation chair Yahoo Finance
NKE,2020-08-12 12:07:00,"Dow Jones Spikes 300 Points On Moderna Coronavirus Vaccine Deal; Apple Rebounds 3%, While Tesla Surges On Stock Split Investor's Business Daily"
NKE,2020-08-12 10:30:00,The Bad News for Nike in Foot Locker's Sales Update Motley Fool
NKE,2020-08-12 10:00:00,"PVH Names Julie Fuller as Chief Human Resources Officer, Effective Jan. 1 WWD"
NKE,2020-08-12 09:53:00,Go Long Nike as it Has Broken Out on the Upside TheStreet.com
NKE,2020-08-12 09:48:00,"Dow Jones Today, Stocks Climb After Moderna Vaccine Deal; AMD Leads Chip Bounce; Tesla Announces Stock Split Investor's Business Daily"
NKE,2020-08-11 05:50:00,Nike (NKE) Stock Moves -0.28%: What You Should Know Zacks
NKE,2020-08-11 05:23:00,The obsession with Michael Jordan (and his sneakers) shows no sign of abating Quartz
NKE,2020-08-11 04:24:00,Dow Jones Pares Gain Of Over 250 Points; Nike Stock Trades In Buy Range Investor's Business Daily
NKE,2020-08-11 02:05:00,"Dow Jones Soars Above 28,000, Led By JPMorgan; 5 Top Growth Stocks Finding Support Investor's Business Daily"
NKE,2020-08-11 01:17:00,"Dow Jones Jumps 325 Points On Russian Coronavirus Vaccine Claim; Visa Nears New Buy Point, While Tilray, Nio Report Earnings Investor's Business Daily"
NKE,2020-08-11 08:13:00,Dow Jones Futures Surge 300 Points On Russian Coronavirus Vaccine News; Tesla Rival Nio Jumps 11% On Earnings Investor's Business Daily
NKE,2020-08-10 05:20:00,"Former Nike Execs Launch Female-Owned, Minorities-Focused Cannabis Consulting Group Benzinga"
NKE,2020-08-10 04:36:00,Dow Jones Rises As This Dow Leader Trades Inside A Key Buy Zone Investor's Business Daily
NKE,2020-08-10 03:45:00,Nasdaq Scrapes Away Some Losses; Is It Time To Buy This Dow Jones Stock? Investor's Business Daily
NKE,2020-08-10 01:35:00,"Dow Jones Jumps 275 Points, Fueled By Nike Breakout; Software Stocks Slammed Again Investor's Business Daily"
NKE,2020-08-10 01:28:00,US STOCKS-Wall St mixed with stimulus in focus; Dow hits over 5-month high Reuters
NKE,2020-08-10 12:44:00,"Foot Locker got a Q2 boost from government stimulus but Q3 could be a different story, analysts say MarketWatch"
NKE,2020-08-10 12:25:00,"Dow Jones Leads, Nasdaq Lags As Market Weighs Trump Orders, China Tensions Investor's Business Daily"
NKE,2020-08-10 12:20:00,"Dow Jones Jumps 275 Points On Trump Executive Orders; Apple Gets Price-Target Hikes, While Nike Is Breaking Out Today Investor's Business Daily"
NKE,2020-08-10 12:00:00,"Dow's nearly 300-point rally highlighted by gains for Boeing, Nike stocks MarketWatch"
NKE,2020-08-10 11:11:00,Nike Breaks Out Investor's Business Daily Video
NKE,2020-08-10 10:59:00,"Boeing, Caterpillar share gains lead Dow's nearly 150-point jump MarketWatch"
NKE,2020-08-10 10:19:00,"Dow Jones Stocks To Buy And Watch In August 2020: Pfizer, Visa, Walmart; Nike Is Breaking Out Today Investor's Business Daily"
NKE,2020-08-10 09:51:00,"Dow Jones Today, Stocks Gain Strength; Casinos Rally On IAC's MGM Stake; Apple Gets IPhone Demand Support Investor's Business Daily"
NKE,2020-08-10 09:45:00,"Dow jumps 211 points on gains for shares of Nike, Boeing MarketWatch"
NKE,2020-08-07 04:04:00,Trumps WeChat Ban Brings Cold War With China Into a Billion Homes Bloomberg
NKE,2020-08-07 08:11:00,Misty Copeland: 'Hard balance' when I retained ties with Under Armour after ex-CEO Kevin Plank supported Trump Yahoo Finance
NKE,2020-08-07 06:00:00,Misty Copeland: I don't have the same beliefs as our President Yahoo Finance Video
NKE,2020-08-07 05:01:00,Invest in SoleSavy Stock to Get in on a Multi-Billion-Dollar Sneaker Niche InvestorPlace
NKE,2020-08-06 08:30:00,Preformed Line Products Announces Second Quarter And First Half 2020 Results PR Newswire
NKE,2020-08-06 07:13:00,Can Adidas Sneakers Survive a Second Wave? Bloomberg
NKE,2020-08-06 06:00:00,Influencers with Andy Serwer: Misty Copeland Yahoo Finance Video
NKE,2020-08-06 01:08:00,adidas AG -- Moody's assigns A2/Prime-1 issuer ratings to adidas AG; outlook stable Moody's
NKE,2020-08-05 03:58:00,"Dow rallies nearly 400 points on gains for shares of Walt Disney, Boeing MarketWatch"
NKE,2020-08-05 11:01:00,"Walt Disney, Nike share gains contribute to Dow's 319-point rally MarketWatch"
NKE,2020-08-05 10:09:00,The Retail Misery Story Likely Continued In Q2; Earnings Ahead Benzinga
NKE,2020-08-04 07:12:00,Planet Fitness reports bigger quarterly loss than expected; CEO aims to get people safely back to gym Yahoo Finance
NKE,2020-08-04 05:50:00,Nike (NKE) Stock Sinks As Market Gains: What You Should Know Zacks
NKE,2020-08-04 05:06:00,MEDIA-Black employees at Nike object to company's new ad - FT Reuters
NKE,2020-08-04 07:00:00,100-Year-Old Antitrust Laws Are No Match for Big Tech Bloomberg
NKE,2020-08-03 07:19:00,Under Armour: Through the Worst of the Storm? GuruFocus.com
NKE,2020-08-03 11:12:00,"Dow's 200-point climb led by gains in shares of Microsoft, Merck MarketWatch"
NKE,2020-08-03 09:56:00,Price Over Earnings Overview: Nike Benzinga
NKE,2020-08-03 08:00:00,Shoppers Are Forming New Habits in the Pandemic. These Retailers Could Benefit. Barrons.com
NKE,2020-08-02 06:32:00,1 Thing Lululemon Athletica Does Better Than Anyone Else Motley Fool
